Customer Id,Subscription Id,Invoice Id,Invoice Date,Start Date,Amount,Status,Paid On,Next Retry,Refunded Amount,Recurring,First Invoice,Customer Details,Tax Total
2uENY2ytPEiGCuKJkO,2uENY2ytPEiGCuKJkO,7062,2015-06-05 06:29:00,2015-06-05 06:29:00,900,Payment Due,,,0,TRUE,TRUE,"{""Company"":"""",""Email"":"""",""First Name"":"""",""Last Name"":""""}",0
1mqYqruPCRsr6EEhR,,7060,2015-05-26 09:54:00,2015-05-26 09:54:00,1200,Payment Due,,,0,FALSE,FALSE,"{""Company"":"""",""Email"":"""",""First Name"":"""",""Last Name"":""""}",0
1mqYqp8P7vGR0b8Ww,1mqYqp8P7vGR0b8Ww,draft_inv_2uENY31gPDfwZyZGw,2015-05-25 06:30:00,2015-04-25 06:30:00,2000,Pending,,,0,TRUE,FALSE,"{""Company"":"""",""Email"":""john@user.com"",""First Name"":""John"",""Last Name"":""Wayne""}",0
1mqYqp8P7vDLW98TV,1mqYqp8P7vDLW98TV,draft_inv_2uENY31gPDfw4nxFh,2015-05-25 06:28:00,2015-04-27 11:04:00,2900,Pending,,,0,TRUE,FALSE,"{""Company"":"""",""Email"":""asdfa@asd.com"",""First Name"":""asda"",""Last Name"":""asd""}",0
test_sub2,test_sub2,draft_inv_2slhRVZTPDfr7xK2Z,2015-05-25 06:08:00,2015-04-25 06:08:00,1000,Pending,,,0,TRUE,FALSE,"{""Company"":"""",""Email"":"""",""First Name"":""John"",""Last Name"":""Doe""}",0
test_sub,test_sub,draft_inv_2uENY31gPDfr0ZeA5,2015-05-25 06:07:00,2015-04-25 06:07:00,1000,Pending,,,0,TRUE,FALSE,"{""Company"":"""",""Email"":"""",""First Name"":""John"",""Last Name"":""Doe""}",0
2uENY34LP7v8aYs8di,2uENY34LP7vA8698fV,draft_inv_HpvtAY1PDfqC5B1Z,2015-05-25 06:04:00,2015-04-25 06:04:00,1000,Pending,,,0,TRUE,FALSE,"{""Company"":"""",""Email"":""john@test.com"",""First Name"":""John"",""Last Name"":""Doe""}",0
cbdemo_XpbGA4wP6d1LnOC,cbdemo_XpbGA4wP6d1LnOC,draft_inv_1mqYqnaPDflh3K1,2015-05-25 05:46:00,2015-04-25 05:46:00,0,Pending,,,0,TRUE,FALSE,"{""Company"":"""",""Email"":""jon@cbacme.com"",""First Name"":""Jon"",""Last Name"":""M""}",0
2uENY34fPA5FDA5NCA,2uENY30FPAZjzQaToC,7059,2015-05-22 09:35:00,2015-04-22 09:35:00,19800,Payment Due,,,0,TRUE,TRUE,"{""Company"":"""",""Email"":"""",""First Name"":"""",""Last Name"":""""}",0
1mqYqruPCRsr6EEhR,2uENY3ATPCRtZrIMIi,7058,2015-05-19 08:29:00,2015-05-19 08:29:00,1100,Payment Due,,,0,FALSE,TRUE,"{""Company"":"""",""Email"":"""",""First Name"":"""",""Last Name"":""""}",0
2uENY34fPA5Ela4NBW,2uENY34fPA5Ela4NBW,draft_inv_2uENY3ATPCueoMy10sn,2015-05-17 04:24:00,2015-04-17 04:24:00,0,Pending,,,0,TRUE,FALSE,"{""Company"":"""",""Email"":"""",""First Name"":"""",""Last Name"":""""}",0
cbdemo_XpbGA4wP6d1ML7N,cbdemo_XpbGA4wP6d1ML7N,7057,2015-05-14 06:44:00,2015-05-14 06:44:00,1000,Payment Due,,,0,FALSE,TRUE,"{""Company"":"""",""Email"":""mbruner@cbacme.com"",""First Name"":""Michael"",""Last Name"":""B""}",0
